U+0020  14054
U+0021 ! 15
U+0022 " 715
U+0027 ' 529
U+0028 ( 13
U+0029 ) 13
U+002C , 1188
U+002D - 465
U+002E . 649
U+0034 4 1
U+0036 6 1
U+0038 8 1
U+0039 9 1
U+003A : 7
U+003B ; 24
U+003F ? 51
U+0041 A 89
U+0042 B 37
U+0043 C 46
U+0044 D 120
U+0045 E 4
U+0046 F 23
U+0047 G 19
U+0049 I 21
U+004C L 77
U+004D M 39
U+004E N 130
U+004F O 20
U+0050 P 81
U+0052 R 56
U+0053 S 26
U+0054 T 57
U+0055 U 22
U+0061 a 10091
U+0062 b 515
U+0063 c 856
U+0064 d 1799
U+0065 e 2995
U+0066 f 899
U+0067 g 2606
U+0068 h 40
U+0069 i 6591
U+006C l 2064
U+006D m 1252
U+006E n 5044
U+006F o 2108
U+0070 p 179
U+0072 r 3611
U+0073 s 3836
U+0074 t 1668
U+0075 u 2944
U+00C1 Á 3
U+00C9 É 54
U+00CD Í 2
U+00D3 Ó 7
U+00E1 á 1082
U+00E9 é 1249
U+00ED í 963
U+00F3 ó 495
U+00FA ú 241
U+010A Ċ 77
U+010B ċ 1448
U+0120 Ġ 11
U+0121 ġ 705
U+1E02 Ḃ 89
U+1E03 ḃ 1160
U+1E0A Ḋ 11
U+1E0B ḋ 1102
U+1E1E Ḟ 1
U+1E1F ḟ 214
U+1E40 Ṁ 16
U+1E41 ṁ 462
U+1E56 Ṗ 13
U+1E57 ṗ 30
U+1E60 Ṡ 8
U+1E61 ṡ 91
U+1E6A Ṫ 74
U+1E6B ṫ 821
