U+0020  13401
U+0021 ! 65
U+0022 " 493
U+0027 ' 179
U+0028 ( 7
U+0029 ) 7
U+002A * 37
U+002C , 554
U+002D - 248
U+002E . 920
U+003A : 14
U+003B ; 42
U+003F ? 81
U+0041 A 216
U+0042 B 83
U+0043 C 115
U+0044 D 167
U+0045 E 74
U+0046 F 41
U+0047 G 20
U+0048 H 2
U+0049 I 53
U+004A J 3
U+004C L 32
U+004D M 38
U+004E N 194
U+004F O 7
U+0050 P 7
U+0052 R 29
U+0053 S 47
U+0054 T 63
U+0055 U 4
U+0057 W 1
U+0061 a 9103
U+0062 b 559
U+0063 c 906
U+0064 d 1350
U+0065 e 2732
U+0066 f 575
U+0067 g 2017
U+0068 h 88
U+0069 i 5456
U+006B k 1
U+006C l 1940
U+006D m 885
U+006E n 4480
U+006F o 2099
U+0070 p 168
U+0072 r 3187
U+0073 s 2977
U+0074 t 1421
U+0075 u 1519
U+0079 y 2
U+00C1 Á 18
U+00C9 É 14
U+00CD Í 16
U+00D3 Ó 20
U+00DA Ú 1
U+00E1 á 1124
U+00E9 é 956
U+00ED í 1522
U+00F3 ó 525
U+00FA ú 307
U+010A Ċ 85
U+010B ċ 1242
U+0120 Ġ 11
U+0121 ġ 422
U+1E02 Ḃ 188
U+1E03 ḃ 859
U+1E0A Ḋ 12
U+1E0B ḋ 627
U+1E1E Ḟ 1
U+1E1F ḟ 160
U+1E40 Ṁ 52
U+1E41 ṁ 456
U+1E56 Ṗ 6
U+1E57 ṗ 31
U+1E60 Ṡ 16
U+1E61 ṡ 93
U+1E6A Ṫ 52
U+1E6B ṫ 830
