U+0020  32849
U+0021 ! 278
U+002C , 2322
U+002D - 761
U+002E . 2371
U+0030 0 1
U+003A : 4
U+003B ; 28
U+003F ? 308
U+0041 A 484
U+0042 B 155
U+0043 C 368
U+0044 D 486
U+0045 E 22
U+0046 F 68
U+0047 G 142
U+0048 H 6
U+0049 I 240
U+004C L 64
U+004D M 175
U+004E N 495
U+004F O 26
U+0050 P 122
U+0052 R 13
U+0053 S 481
U+0054 T 143
U+0055 U 18
U+0061 a 24486
U+0062 b 1250
U+0063 c 2067
U+0064 d 4803
U+0065 e 7351
U+0066 f 1659
U+0067 g 5377
U+0068 h 192
U+0069 i 13712
U+006A j 1
U+006B k 1
U+006C l 4396
U+006D m 2640
U+006E n 10472
U+006F o 4909
U+0070 p 481
U+0072 r 8853
U+0073 s 7604
U+0074 t 3334
U+0075 u 4967
U+0077 w 2
U+0079 y 5
U+00C1 Á 5
U+00C9 É 50
U+00CD Í 3
U+00D3 Ó 48
U+00DA Ú 1
U+00E1 á 2852
U+00E9 é 3465
U+00ED í 2866
U+00F3 ó 1706
U+00FA ú 817
U+010A Ċ 144
U+010B ċ 3117
U+0120 Ġ 70
U+0121 ġ 1617
U+1E02 Ḃ 155
U+1E03 ḃ 2646
U+1E0A Ḋ 77
U+1E0B ḋ 2628
U+1E1E Ḟ 3
U+1E1F ḟ 483
U+1E40 Ṁ 91
U+1E41 ṁ 1383
U+1E56 Ṗ 58
U+1E57 ṗ 92
U+1E60 Ṡ 208
U+1E61 ṡ 195
U+1E6A Ṫ 47
U+1E6B ṫ 2163
U+2013 – 354
U+2014 — 10
U+2018 ‘ 103
U+2019 ’ 1631
U+201C “ 840
U+201D ” 788
